ID-datalake,nct_id,brief_title,official_title,phase,recruitment_status,start_date,completion_date,primary_completion_date,enrollment,enrollment_type,lead_sponsor,sponsor_organization,indications,interventions_drugs,drugs_datalake,main_technologies,specific_technologies,target_names,target_abbreviations
63319,NCT06912152,MT027 in Patients With Advanced Peritoneal Malignancies or Abdominal Metastatic Solid Tumors,"Phase I Dose-Escalation Study of MT027: Evaluating Tolerability, Safety, Pharmacokinetics, and Preliminary Efficacy in Patients With Advanced Peritoneal Malignancies or Abdominal Metastatic Solid Tumors",PHASE1,RECRUITING,2/4/2025,31/12/2028,31/10/2028,12,ESTIMATED,,,['Peritoneal Malignant Mesothelioma'],"['Fludarabine', 'Cyclophosphamide', 'MT-027']","['B346', 'B2818', 'B9987']","[['Small Molecule'], ['Small Molecule'], ['Chimeric Antigen Receptor T-Cell Therapy (CAR-T)']]","[['Small Molecule'], ['Small Molecule'], ['Chimeric Antigen Receptor T-Cell Therapy (CAR-T)']]","[['Ribonucleotide reductase', 'RNA polymerase II'], ['DNA'], ['CD276 antigen']]","[['DNA polymerase III', 'RNR', 'RNA polymerase II'], ['DNA'], ['B7H3']]"
53135,NCT05903833,"Pembrolizumab in Combination With Lenvatinib in Pts With Recurrent, Persistent, Metastatic or Locally Advanced Vulvar Cancer Not Amenable to Curative Surgery or Radiotherapy","Pembrolizumab in Combination With Lenvatinib in Pts With Recurrent, Persistent, Metastatic or Locally Advanced Vulvar Cancer Not Amenable to Curative Surgery or Radiotherapy (A Multicenter, Single-arm Phase II, Open-label Study of the AGO Study Group)",PHASE2,NOT_YET_RECRUITING,1/4/2025,30/10/2029,30/10/2027,42,ESTIMATED,,,"['Vulvar Carcinoma', 'Vulvar Carcinoma', 'Vulvar Carcinoma', 'Vulvar Carcinoma']","['Pembrolizumab', 'Lenvatinib']","['B936', 'B261']","[['Antibody'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule']]","[['Programmed cell death protein 1'], ['Fibroblast growth factor receptor 1', 'Fibroblast growth factor receptor 2', 'Fibroblast growth factor receptor 3', 'Fibroblast growth factor receptor 4', 'Platelet-derived growth factor receptor alpha', 'Stem cell growth factor receptor', 'Tyrosine-protein kinase receptor RET', 'Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3']]","[['PD-1'], ['FGFR1', 'FGFR2', 'FGFR3', 'FGFR4', 'PDGFRÎ±', 'c-Kit', 'RET', 'VEGFR1', 'VEGFR2', 'VEGFR3']]"
56156,NCT06364267,Low Dose Exemestane Vs Low Dose Tamoxifen in Post-menopausal Women At High Risk for Breast Cancer.,Randomized Double Blind Phase II Trial of Baby Exemestane Vs Baby Tamoxifen in Post-menopausal Women At High Risk for Breast Cancer.,PHASE2,NOT_YET_RECRUITING,1/4/2025,31/1/2027,31/1/2027,140,ESTIMATED,,,['Breast Cancer'],"['Tamoxifen', 'Exemestane']","['B2062', 'B86']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['Estrogen receptors'], ['Aromatase']]","[['ER'], ['aromatase']]"
57195,NCT06508931,Safety and Efficacy Study of Zamtocabtagene Autoleucel (MB-CART2019.1) in Pediatric Patients With Relapsed or Refractory B-Cell Neoplasms,"A Single-arm, Multi-center, Open-label Phase II Study to Determine the Safety and Efficacy of MB-CART2019.1 in Pediatric Subjects With Relapsed/Refractory (r/r) Mature B-cell Neoplasms Who Have Relapsed After One or More Prior Therapies, Including Subjects With Primary Refractory Disease",PHASE2,NOT_YET_RECRUITING,1/4/2025,1/10/2029,29/9/2029,31,ESTIMATED,,,['Hematology'],['Zamtocabtagene autoleucel'],['B3067'],[['Chimeric Antigen Receptor T-Cell Therapy (CAR-T)']],[['Chimeric Antigen Receptor T-Cell Therapy (CAR-T)']],"[['B-lymphocyte antigen CD19', 'B-lymphocyte antigen CD20']]","[['CD19', 'CD20']]"
57250,NCT06517017,"Use of Isatuximab, Dexamethasone and Lenalidomide in a Go-Slow Fashion for Ultra-Frail Patients With Multiple Myeloma","Use of Isatuximab, Dexamethasone and Lenalidomide in a Go-Slow Fashion for Ultra-Frail Patients With Multiple Myeloma: A Phase 2 Multicenter Study",PHASE2,NOT_YET_RECRUITING,31/3/2025,30/11/2027,30/11/2026,40,ESTIMATED,,,"['Multiple Myeloma', 'Plasma Cell Leukemia']","['Isatuximab', 'Dexamethasone', 'Lenalidomide']","['B1027', 'B1128', 'B2071']","[['Antibody'], ['Small Molecule'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule'], ['Molecular glue']]","[['Lymphocyte differentiation antigen CD38'], ['Glucocorticoid receptor'], ['casein kinase 1 alpha 1', 'Cereblon', 'DNA-binding protein Ikaros', 'Interleukin-2', 'Interleukin-6', 'Tumor necrosis factor Î±', 'Zinc finger protein Aiolos']]","[['CD38'], ['GR'], ['IFNÎ³', 'CK1Î±', 'CRBN', 'IKZF1', 'IL-2', 'IL-6', 'TNF-Î±', 'IKZF3']]"
63142,NCT06887803,A Study of Roginolisib in Combination with Ruxolitinib in Patients with Myelofibrosis (MF) Who Are Unresponsive to JAK Inhibitors,"A Phase I/II Open-Label, Multi-centre Study to Assess the Safety and Tolerability of Roginolisib in Combination with Ruxolitinib in Patients with Myelofibrosis (MF) Who Are Unresponsive to JAK Inhibitors (HEMA-MED)",PHASE1/PHASE2,NOT_YET_RECRUITING,31/3/2025,31/7/2028,31/3/2028,26,ESTIMATED,,,['Primary Myelofibrosis'],"['Roginolisib', 'Ruxolitinib']","['B1079', 'B481']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['Phosphatidylinositol 3 kinase delta'], ['Tyrosine-protein kinase JAK1', 'Tyrosine-protein kinase JAK2']]","[['PI3KÎ´'], ['JAK1', 'JAK2']]"
63111,NCT06882746,"A Study to Test Different Doses of BI 765049 in People With Advanced Cancer of the Colon, Rectum, Stomach, or Pancreas","A Phase I, Open-label, Non-randomised, Multi-center Dose Escalation Trial of BI 765049 Administered by Parenteral Route in Patients With Advanced, Unresectable, and/or Metastatic Colorectal Carcinoma (CRC), Gastric Carcinoma (GC), or Pancreatic Ductal Adenocarcinoma (PDAC) to Determine the MTD and the RP2D and to Determine the Dosing Regimen for Further Development of BI 765049",PHASE1,RECRUITING,28/3/2025,12/5/2027,11/12/2026,100,ESTIMATED,,,"['Colorectal Cancer', 'Gastric Cancer', 'Pancreatic Cancer']",['BI 765049'],['B6032'],[['Antibody']],[['Bispecific Antibody']],"[['natural killer cell cytotoxicity receptor 3 ligand 1', 'T cell surface glycoprotein CD3']]","[['NCR3LG1', 'CD3']]"
61771,NCT06682637,Melflufen for Elderly Patients With Relapsed Myeloma,Melflufen for Elderly Myeloma Patients in Second or Subsequent Relapse,PHASE2,WITHDRAWN,26/3/2025,26/3/2025,26/3/2025,0,ACTUAL,,,['Multiple Myeloma'],"['Melphalan flufenamide', 'Dexamethasone']","['B1434', 'B1128']","[['Engineered Protein Therapy'], ['Small Molecule']]","[['Synthetic Peptide Drug Conjugate'], ['Small Molecule']]","[['DNA'], ['Glucocorticoid receptor']]","[['DNA'], ['GR']]"
63329,NCT06914128,A First-in-human Study to Learn How Safe BAY 3713372 is and How it Works in Participants With MTAP-deleted Solid Tumors,"A First-in-human Study to Evaluate the Safety, Tolerability and Pharmacokinetics, Pharmacodynamics and Preliminary Clinical Activity of BAY 3713372, a Novel 2nd Generation PRMT5 Inhibitor, in Participants With MTAP-deleted Solid Tumors.",PHASE1,RECRUITING,21/3/2025,17/6/2029,17/6/2029,70,ESTIMATED,,,['Solid Tumors'],['PH020'],['B11897'],[['Small Molecule']],[['Small Molecule']],[['Protein arginine methyltransferase 5']],[['PRMT5']]
62073,NCT06728072,Addition of Antibiotics to Upfront Treatment Regimen for Colorectal Cancer,"Pilot Study Evaluating Microbiome Modulation Therapy (MBMT) With Ciprofloxacin, Metronidazole, and Aspirin in Addition to Standard of Care Chemotherapy in Patients Undergoing First-Line Therapy for Metastatic Colorectal Cancer",PHASE2,RECRUITING,7/3/2025,1/7/2035,1/7/2035,97,ESTIMATED,,,"['Colorectal Cancer', 'Colorectal Cancer']","['Metronidazole', 'Ciprofloxacin', 'Aspirin']","['B282', 'B2048', 'B856']","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[[], [], ['Cyclooxygenases']]","[[], ['Bacterial DNA gyrase'], ['COX']]"
56535,NCT06417190,Bladder Preservation for Patients with Muscle Invasive Bladder Cancer (MIBC) with Variant Histology,IIT2023-13-BALLAS-VHTMT: Bladder Preservation for Patients with Muscle Invasive Bladder Cancer (MIBC) with Variant Histology,PHASE2,RECRUITING,1/3/2025,30/9/2030,30/9/2030,20,ESTIMATED,,,"['Glioma', 'Muscle Invasive Bladder Cancer']",[],[],[],[],[],[]
62816,NCT06834672,"Study of IBI354 Versus Investigator's Choice of Chemotherapy in Patients With Platinum-resistant Ovarian, Primary Peritoneal, or Fallopian Tube Cancer","A Multicenter, Randomized, Open-label Phase III Study of IBI354 Versus Investigator's Choice of Chemotherapy in Patients With Platinum-resistant Ovarian, Primary Peritoneal, or Fallopian Tube Cancer",PHASE3,NOT_YET_RECRUITING,28/2/2025,28/11/2029,28/12/2027,450,ESTIMATED,,,"['Fallopian Tube Cancer', 'Ovarian Cancer', 'Primary Peritoneal Cancer']","['IBI 354', 'Paclitaxel', 'Gemcitabine', 'Pegylated liposomal doxorubicin']","['B4829', 'B1250', 'B2079', 'B2819']","[['Antibody Drug Conjugate (ADC)'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Antibody Drug Conjugate (ADC)'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['DNA topoisomerase I', 'Receptor protein-tyrosine kinase erbB-2'], ['Tubulin beta-1 chain'], ['DNA', 'Ribonucleotide reductase'], ['DNA', 'Top II inhibitors (Topoisomerase II inhibitors)']]","[['TOP1', 'HER2'], ['TUBB1'], ['DNA', 'RNR'], ['DNA', 'TOP2']]"
62949,NCT06856200,A Study of Sirolimus (Albumin-Bound) in Combination With Palbociclib and Fulvestrant for the Treatment of Advanced Breast Cancer,"An Investigator-initiated Study to Evaluate the Safety, Tolerability, and Preliminary Efficacy of Sirolimusï¼ˆAlbumin-boundï¼‰in Combination With Palbociclib and Fulvestrant in Patients With Advanced HR- Positive, HER2- Negative Breast Cancer",,RECRUITING,28/2/2025,30/6/2026,31/10/2025,36,ESTIMATED,,,"['HER2-Negative Breast Cancer', 'Endocrine Neoplasm']","['Sirolimus', 'Palbociclib', 'Fulvestrant']","['B1227', 'B504', 'B276']","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Serine/threonine-protein kinase mTOR'], ['Cyclin-dependent kinase 4', 'Cyclin-dependent kinase 6'], ['Estrogen receptors']]","[['mTOR'], ['CDK4', 'CDK6'], ['ER']]"
60900,NCT06560879,Effectiveness of Probiotics for the Prevention of Gastrointestinal Toxicity in Children with Leukemia,Effectiveness of Probiotics for the Prevention of Gastrointestinal Toxicity and Changes in Gut Microbiota in Children with Acute Lymphoblastic Leukemia,PHASE2,ENROLLING_BY_INVITATION,1/2/2025,31/8/2026,31/12/2025,120,ESTIMATED,,,"['Thoracic Neoplasm', 'Probiotics', 'Gastrointestinal Diseases']","['Lactobacillus rhamnosus', 'Bifidobacterium bifidum', 'Placebo Control']",[],[],[],[],[]
62610,NCT06801730,Irinotecan Liposomes Combined With Bevacizumab in the Treatment of Recurrent Glioma,Exploratory Study of Irinotecan Liposomes Combined With Bevacizumab in the Treatment of Progressive or Recurrent Glioma,PHASE2,RECRUITING,8/1/2025,15/12/2026,15/12/2026,38,ESTIMATED,,,['Glioma'],"['irinotecan liposomal', 'Bevacizumab']","['B9057', 'B167']","[[], ['Antibody']]","[[], ['Monoclonal Antibody']]","[[], ['Vascular endothelial growth factor A']]","[[], ['VEGF-A']]"
62916,NCT06851247,GAPP Induction and Concurrent Chemoradiotherapy Followed by Toripalimab Maintenance for Nasopharyngeal Carcinoma.,"Toripalimab Plus Anlotinib Combined with GP Induction Chemotherapy and Concurrent Chemoradiotherapy Followed by Toripalimab Maintenance Therapy for High-risk, Locally Advanced Nasopharyngeal Carcinomaï¼šA Single-arm, Phase II Clinical Trial",PHASE2,RECRUITING,3/1/2025,30/6/2027,30/6/2027,47,ESTIMATED,,,['Nasopharyngeal Cancer'],"['Toripalimab', 'Catequentinib', 'Gemcitabine', 'Cisplatin', 'Intensity-Modulated Radiation Therapy']","['B1346', 'B1436', 'B2079', 'B49']","[['Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Programmed cell death protein 1'], ['Stem cell growth factor receptor', 'Vascular endothelial growth factor receptor 1', 'Vascular endothelial growth factor receptor 2', 'Vascular endothelial growth factor receptor 3'], ['DNA', 'Ribonucleotide reductase'], ['DNA']]","[['PD-1'], ['c-Kit', 'VEGFR1', 'VEGFR2', 'VEGFR3'], ['DNA', 'RNR'], ['DNA']]"
56076,NCT06352866,Siltuximab for Cytokine Release Syndrome Prophylaxis Prior to tx w/ Teclistamab in RRMM,Phase II Trial of Siltuximab for Cytokine Release Syndrome Prophylaxis Prior to Treatment With Teclistamab in Relapsed or Refractory Multiple Myeloma (RRMM),PHASE2,WITHDRAWN,1/1/2025,1/12/2025,1/4/2025,0,ACTUAL,,,"['Multiple Myeloma', 'Cytokine Release Syndrome', 'Multiple Myeloma', 'Immune Effector Cell Associated Neurotoxicity Syndrome']","['Siltuximab', 'Teclistamab']","['B454', 'B1522']","[['Antibody'], ['Antibody']]","[['Monoclonal Antibody'], ['Bispecific T-Cell Engager']]","[['Interleukin-6'], ['B-cell maturation protein', 'T cell surface glycoprotein CD3']]","[['IL-6'], ['BCMA', 'CD3']]"
62186,NCT06744894,SIL as Maintenance Therapy in Multiple Myeloma,Selinexor Combined With Ixazomib and Lenalidomide as Maintenance Therapy in Patients With Multiple Myeloma,PHASE2,NOT_YET_RECRUITING,1/1/2025,1/1/2030,1/1/2028,50,ESTIMATED,,,['Multiple Myeloma'],"['Selinexor', 'Ixazomib', 'Lenalidomide']","['B1030', 'B783', 'B2071']","[['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule'], ['Molecular glue']]","[['Exportin-1 protein'], ['Proteasome'], ['casein kinase 1 alpha 1', 'Cereblon', 'DNA-binding protein Ikaros', 'Interleukin-2', 'Interleukin-6', 'Tumor necrosis factor Î±', 'Zinc finger protein Aiolos']]","[['XPO1'], ['Proteasome'], ['IFNÎ³', 'CK1Î±', 'CRBN', 'IKZF1', 'IL-2', 'IL-6', 'TNF-Î±', 'IKZF3']]"
62408,NCT06772428,Nano-crystalline Megestrol Acetate for Adjuvant Treatment in High-risk Head and Neck Squamous Cell Carcinoma After Surgery.,"A Prospective, Randomized, Parallel-controlled Clinical Study of Nano-crystalline Megestrol Acetate Combined With Standard Treatment Versus Standard Treatment Alone for Adjuvant Therapy in Patients With High-risk Factor Squamous Cell Carcinoma of the Head and Neck After Surgery.",PHASE3,NOT_YET_RECRUITING,1/1/2025,31/12/2027,30/6/2027,96,ESTIMATED,,,"['Head and Neck Squamous Cell Carcinoma', 'Underwent Surgery Within 6 Weeks and Postoperative Assessment Indicated High-risk Factors']","['Megestrol acetate', 'Radiation Therapy', 'Chemotherapy']",['B9385'],[[]],[[]],[[]],[[]]
62032,NCT06720324,CD7-specific CAR-T Cell in the Treatment of CD7-positive Relapsed/Refractory Hematologic Tumors,An Open-label Clinical Study on the Efficacy and Safety of CD7-specific CAR-T Cell Injection in the Treatment of CD7-positive Relapsed/Refractory Hematologic Tumors,PHASE1/PHASE2,RECRUITING,31/12/2024,31/12/2027,31/12/2027,80,ESTIMATED,,,['Hematology'],"['Fludarabine', 'Cyclophosphamide', 'Anti-CD7 CAR T-cells']","['B346', 'B2818']","[['Small Molecule'], ['Small Molecule']]","[['Small Molecule'], ['Small Molecule']]","[['Ribonucleotide reductase', 'RNA polymerase II'], ['DNA']]","[['DNA polymerase III', 'RNR', 'RNA polymerase II'], ['DNA']]"
62128,NCT06735131,The Optimal Radioimmunotherapy Combinations for Advanced TNBC,"A Prospective, Multicenter Clinical Trial Exploring the Optimal Combination Strategies of Radiotherapy and Immunotherapy for Advanced Triple-Negative Breast Cancer",PHASE2,NOT_YET_RECRUITING,31/12/2024,31/1/2027,31/7/2026,60,ESTIMATED,,,['Triple-Negative Breast Cancer'],"['Toripalimab', 'Radiation Therapy', 'Chemotherapy', 'Nab-paclitaxel', 'Gemcitabine', 'Carboplatin']","['B1346', 'B7744', 'B2079', 'B274']","[['Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Monoclonal Antibody'], ['Small Molecule'], ['Small Molecule'], ['Small Molecule']]","[['Programmed cell death protein 1'], ['Tubulin beta-1 chain'], ['DNA', 'Ribonucleotide reductase'], ['DNA']]","[['PD-1'], ['TUBB1'], ['DNA', 'RNR'], ['DNA']]"
62094,NCT06730932,"A Prospectiveï¼ŒSingle Arm, Multicenter Clinical Study of BTLA Monoclonal Antibody JS004 (B/T Lymphocyte Attenuator Factor Monoclonal Antibody) in Combination With Toripalimab in Patients With Unresectable or Advanced Renal Cell Carcinoma Who Had Failed Previous Immunotherapy","A Prospectiveï¼ŒSingle Arm, Multicenter Clinical Study of BTLA Monoclonal Antibody JS004 (B/T Lymphocyte Attenuator Factor Monoclonal Antibody) in Combination With Toripalimab in Patients With Unresectable or Advanced Renal Cell Carcinoma Who Had Failed Previous Immunotherapy",PHASE2,NOT_YET_RECRUITING,30/12/2024,30/12/2026,30/3/2026,31,ESTIMATED,,,['Clear Cell Renal Cell Carcinoma'],"['Tifcemalimab', 'Toripalimab']","['B1784', 'B1346']","[['Antibody'], ['Antibody']]","[['Monoclonal Antibody'], ['Monoclonal Antibody']]","[['B- and T-lymphocyte attenuator'], ['Programmed cell death protein 1']]","[['BTLA'], ['PD-1']]"
61674,NCT06667908,A Study of JNJ-90301900 in Combination With Chemoradiation Followed by Consolidation Immunotherapy for Non-Small Cell Lung Cancer (NSCLC),"A Phase 2, Randomized, Open-Label, Active-Controlled Study of JNJ-90301900 in Combination With Chemoradiation Followed by Durvalumab in Locally Advanced and Unresectable Stage III NSCLC",PHASE2,RECRUITING,6/12/2024,31/12/2028,31/12/2028,130,ESTIMATED,,,['Non-Small Cell Lung Cancer'],"['Hafnium oxide', 'Durvalumab', 'Intensity-Modulated Radiation Therapy', 'Carboplatin', 'Paclitaxel']","['B1398', 'B977', 'B274', 'B1250']","[['Small Molecule Radiopharmaceutical'], ['Antibody'], ['Small Molecule'], ['Small Molecule']]","[['Small Molecule Radiopharmaceutical'], ['Monoclonal Antibody'], ['Small Molecule'], ['Small Molecule']]","[[], ['Programmed death-ligand 1'], ['DNA'], ['Tubulin beta-1 chain']]","[[], ['PDL1'], ['DNA'], ['TUBB1']]"
